county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
Harrison,District Attorney,Joel Smith," P.O. Drawer 1180, Gulfport 39502",(228) 865-4003,(228) 865-4239,,,,,,2016-2020 Blue Book,
Hinds,District Attorney,Robert Shuler Smith," P.O. Box 22747, Jackson 39225-2747",(601) 968-6568,(601) 968-6655,,,,,,2016-2020 Blue Book,
Holmes,District Attorney,Akillie Malone Oliver," P.O. Box 311, Durant 39063",(662) 653-3191,(662) 653-6723,,,,,,2016-2020 Blue Book,
Humphreys,District Attorney,Akillie Malone Oliver," P.O. Box 311, Durant 39063",(662) 653-3191,(662) 653-6723,,,,,,2016-2020 Blue Book,
Issaquena,District Attorney,Richard (Ricky) Smith Jr.," P.O. Box 648, Vicksburg 39181",(601) 636-5754,(601) 636-8664,,,,,,2016-2020 Blue Book,
Itawamba,District Attorney,John Weddle," P.O. Box 7237, Tupelo 38802",(662) 432-2800,(662) 432-2831,,,,,,2016-2020 Blue Book,
Jackson,District Attorney,Anthony (Tony) Lawrence III," P.O. Box 1756, Pascagoula 39568-1756",(228) 769-3045,(228) 769-3345,,,,,,2016-2020 Blue Book,
Jasper,District Attorney,Matt Sullivan,"100 Court Ave., Ste. 4, Mendenhall 39114.. (601) 847-1342",f(601) 847-3428,(601) 847-3428,,,,,,2016-2020 Blue Book,
Jefferson,District Attorney,Alexander C. Martin," P.O. Drawer 767, Hazlehurst 39083",(601) 894-5040,(601) 894-9080,,,,,,2016-2020 Blue Book,
Jefferson davis,District Attorney,Hal Kittrell,"500 Courthouse Sq., Ste. 3, Columbia 39429.(601) 731-1476",f(601) 731-1489,(601) 731-1489,,,,,,2016-2020 Blue Book,
Jones,District Attorney,Anthony J. Buckley," P.O. Box 313, Laurel 39441",(601) 649-4606,(601) 428-3191,,,,,,2016-2020 Blue Book,
Kemper,District Attorney,E. J. (Bilbo) Mitchell," P.O. Box 5163, Meridian 39302",(601) 482-9757,(601) 483-0085,,,,,,2016-2020 Blue Book,
Lafayette,District Attorney,Ben Creekmore,"1301 Monroe Avenue, Oxford 38655",(662) 234-3304,(662) 234-0299,,,,,,2016-2020 Blue Book,
Lamar,District Attorney,Hal Kittrell," 500 Courthouse Sq., Ste. 3, Columbia 39429",(601) 731-1476,(601) 731-1489,,,,,,2016-2020 Blue Book,
Lauderdale,District Attorney,E. J. (Bilbo) Mitchell,"P.O. Box 5163, Meridian 39302-5127",(601) 482-9757,(601) 483-0085,,,,,,2016-2020 Blue Book,
Lawrence,District Attorney,Hal Kittrell," 500 Courthouse Sq., Ste. 3, Columbia 39429",(601) 731-1476,(601) 731-1489,,,,,,2016-2020 Blue Book,
Leake,District Attorney,Steven S. Kilgore," P.O. Box 603, Philadelphia 39350",(601) 656-1991,(601) 656-2287,,,,,,2016-2020 Blue Book,
Lee,District Attorney,John Weddle,"P.O. Box 7237, Tupelo 38802",(662) 432-2800,(662) 432-2831,,,,,,2016-2020 Blue Book,
Leflore,District Attorney,W. Dewayne Richardson," P.O. Box 426, Greenville 38702",(662) 378-2105,(662) 332-4665,,,,,,2016-2020 Blue Book,
Lincoln,District Attorney,Dewitt (Dee) T. Bates Jr.," 284 E. Bay St., Magnolia 39652",(601) 783-6677,(601) 783-5646,,,,,,2016-2020 Blue Book,
Lowndes,District Attorney,Scott Colom,"P.O Box 1044, Columbus 39703",(662) 329-5911,(662) 327-1854,,,,,,2016-2020 Blue Book,
Madison,District Attorney,Michael Guest,"P.O. Box 68, Brandon 39043",(601) 825-1427,(601) 825-9605,,,,,,2016-2020 Blue Book,
Marion,District Attorney,Hal Kittrell," 500 Courthouse Sq., Ste. 3, Columbia 39429",(601) 731-1476,(601) 731-1489,,,,,,2016-2020 Blue Book,
Marshall,District Attorney,Ben Creekmore,"1301 Monroe Avenue, Oxford 38655.. (662) 234-3304",f(662) 234-0299,(662) 234-0299,,,,,,2016-2020 Blue Book,
Monroe,District Attorney,John Weddle,"P.O. Box 7237, Tupelo 38802",(662) 432-2800,(662) 432-2831,,,,,,2016-2020 Blue Book,
Montgomery,District Attorney,Doug Evans,"P.O. Box 1262, Grenada 38902-1262",(662) 226-8545,(662) 227-9558,,,,,,2016-2020 Blue Book,
Neshoba,District Attorney,Steven S. Kilgore," P.O. Box 603, Philadelphia 39350",(601) 656-1991,(601) 656-2287,,,,,,2016-2020 Blue Book,
Newton,District Attorney,Steven S. Kilgore," P.O. Box 603, Philadelphia 39350",(601) 656-1991,(601) 656-2287,,,,,,2016-2020 Blue Book,
Noxubee,District Attorney,Scott Colom,"P.O. Box 1044, Columbus 39703",(662) 329-5911,(662) 327-1854,,,,,,2016-2020 Blue Book,
Oktibbeha,District Attorney,Scott Colom," P.O. Box 1044, Columbus 39703",(662) 329-5911,(662) 327-1854,,,,,,2016-2020 Blue Book,
Panola,District Attorney,John W. Champion," 365 Losher St., Ste. 210, Hernando 38632..(662) 469-8014",f(662) 469-8231,(662) 469-8231,,,,,,2016-2020 Blue Book,
Pearl river,District Attorney,Hal Kittrell,"500 Courthouse Sq., Ste. 3, Columbia 39429",(601) 731-1476,(601) 731-1489,,,,,,2016-2020 Blue Book,
Perry,District Attorney,Patricia Burchell,"P.O. Box 166, Hattiesburg 39403-0166",(601) 545-1551,(601) 545-6097,,,,,,2016-2020 Blue Book,
Pike,District Attorney,Dewitt (Dee) T. Bates Jr.," 223 W. Bay St., Magnolia 39652",(601) 783-6677,(601) 783-5646,,,,,,2016-2020 Blue Book,
Pontotoc,District Attorney,John Weddle,"P.O. Box 7237, Tupelo 38802",(662) 432-2800,(662) 432-2831,,,,,,2016-2020 Blue Book,
Prentiss,District Attorney,John Weddle," P.O. Box 7237, Tupelo 38802",(662) 432-2800,(662) 432-2831,,,,,,2016-2020 Blue Book,
Quitman,District Attorney,Brenda F. Mitchell," P.O. Box 848, Cleveland 38732",(662) 843-8000,(662) 846-1711,,,,,,2016-2020 Blue Book,
Rankin,District Attorney,Michael Guest," P.O. Box 68, Brandon 39043",(601) 825-1472,(601) 825-9605,,,,,,2016-2020 Blue Book,
Scott,District Attorney,Steven S. Kilgore," P.O. Box 603, Philadelphia 39350",(601) 656-1991,(601) 656-2287,,,,,,2016-2020 Blue Book,
Sharkey,District Attorney,Richard (Ricky) Smith Jr.," P.O. Box 648, Vicksburg 39181",(601) 636-5754,(601) 636-8664,,,,,,2016-2020 Blue Book,
Simpson,District Attorney,Matt Sullivan," 100 Court Ave., Ste. 4, Mendenhall 39114",(601) 847-1342,(601) 847-3428,,,,,,2016-2020 Blue Book,
Smith,District Attorney,Matt Sullivan,"100 Court Ave., Ste. 4, Mendenhall 39114",(601) 847-1342,(601) 847-3428,,,,,,2016-2020 Blue Book,
Stone,District Attorney,Joel Smith,"P.O. Drawer 1180, Gulfport 39502",(228) 865-4003,(228) 865-4239,,,,,,2016-2020 Blue Book,
Sunflower,District Attorney,W. Dewayne Richardson,"P.O. Box 426, Greenville 38702",(662) 378-2105,(662) 332-4665,,,,,,2016-2020 Blue Book,
Tallahatchie,District Attorney,John W. Champion," 365 Losher St., Ste. 210, Hernando 38632",(662) 469-8014,(662) 469-8231,,,,,,2016-2020 Blue Book,
Tate,District Attorney,John W. Champion," 365 Losher St., Ste. 210, Hernando 38632",(662) 469-8014,(662) 469-8231,,,,,,2016-2020 Blue Book,
Tippah,District Attorney,Ben Creekmore,"1301 Monroe Avenue, Oxford 38655",(662) 234-3304,(662) 234-0299,,,,,,2016-2020 Blue Book,
Tishomingo,District Attorney,John Weddle,"P.O. Box 7237, Tupelo 38802",(662) 432-2800,(662) 432-2831,,,,,,2016-2020 Blue Book,
Tunica,District Attorney,Brenda F. Mitchell," P.O. Box 848, Cleveland 38732",(662) 843-8000,(662) 846-1711,,,,,,2016-2020 Blue Book,
Union,District Attorney,Ben Creekmore," 1301 Monroe Avenue, Oxford 38655",(662) 234-3304,(662) 234-0299,,,,,,2016-2020 Blue Book,
Walthall,District Attorney,Dewitt (Dee) T. Bates Jr.," 284 E. Bay St., Magnolia 39652",(601) 783-6677,(601) 783-5646,,,,,,2016-2020 Blue Book,
Warren,District Attorney,Richard (Ricky) Smith Jr.," P.O. Box 648, Vicksburg 39181",(601) 636-5754,(601) 636-8664,,,,,,2016-2020 Blue Book,
Washington,District Attorney,W. Dewayne Richardson," P.O. Box 426, Greenville 38702",(662) 378-2105,(662) 332-4665,,,,,,2016-2020 Blue Book,
Wayne,District Attorney,E. J. (Bilbo) Mitchell,"P.O. Box 5163, Meridian 39302",(601) 482-9757,(601) 483-0085,,,,,,2016-2020 Blue Book,
Webster,District Attorney,Doug Evans,"P.O. Box 1262, Grenada 38902-1262",(662) 226-8545,(662) 227-9558,,,,,,2016-2020 Blue Book,
Wilkinson,District Attorney,Ronnie Harper,"307 Market St., Natchez 39120",(601) 445-4099,(601) 445-7947,,,,,,2016-2020 Blue Book,
Winston,District Attorney,Doug Evans,"P.O. Box 1262, Grenada 38902-1262",(662) 226-8545,(662) 227-9558,,,,,,2016-2020 Blue Book,
Yalobusha,District Attorney,John W. Champion," 365 Losher St., Ste. 210, Hernando 38632",(662) 469-8014,(662) 469-8231,,,,,,2016-2020 Blue Book,
Yazoo,District Attorney,Akillie Malone Oliver," P.O. Box 311, Durant 39063",(662) 653-3191,(662) 653-6723,,,,,,2016-2020 Blue Book,
