county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
Claiborne,Justice Court Clerk ,Armetrice Ward,"P.O. Box 497, Port Gibson 39150",(601) 437-4478,(601) 437-3833,,,,,,2016-2020 Blue Book,
Clarke,Justice Court Clerk ,Casey West Bozeman," P.O. Box 4, Quitman 39355",(601) 776-5371,(601) 776-1014,,,,,,2016-2020 Blue Book,
Clay,Justice Court Clerk ,Harriett C. Bragg,"P.O. Box 674, West Point 39773",(662) 494-6140,(662) 444-4034,,,,,,2016-2020 Blue Book,
Coahoma,Justice Court Clerk ,Darlean Lake,"144 Ritch St., Clarksdale 38614",(662) 624-3060,,,,,,,2016-2020 Blue Book,
Copiah,Justice Court Clerk ,Mona Carr," 121 W. Frost St., Hazlehurst 39083",(601) 894-3218,(601) 894-6038,,,,,,2016-2020 Blue Book,
Covington,Justice Court Clerk ,Cassity Booker,"P.O. Box 665, Collins 39428",(601) 765-6581,(601) 765-5014,,,,,,2016-2020 Blue Book,
Desoto,Justice Court Clerk ,Pat Sanford," 8525 Hwy. 51 N., Southaven 38671",(662) 469-8026,(662) 469-8825,,,,,,2016-2020 Blue Book,
Forrest,Justice Court Clerk ,Keitha Sparkman-Scott," 700 Main St., Hattiesburg 39401",(601) 544-3136,(601) 545-6114,,,,,,2016-2020 Blue Book,
Franklin,Justice Court Clerk ,Gladys Wilcher,"P.O. Box 365, Meadville 39653",(601) 384-2002,(601) 384-2253,,,,,,2016-2020 Blue Book,
George,Justice Court Clerk ,Sandra Tanner," 368 Cox St., Lucedale 39452",(601) 947-4834,(601) 947-1911,,,,,,2016-2020 Blue Book,
Greene,Justice Court Clerk ,Rita Walley,"P.O. Box 547, Leakesville 39451",(601) 394-2347,(601) 394-2114,,,,,,2016-2020 Blue Book,
Grenada,Justice Court Clerk ,Judith Eldridge,"16 First St., Grenada 38901",(662) 226-3331,(662) 227-5513,,,,,,2016-2020 Blue Book,
Hancock,Justice Court Clerk ,Lisa Guidry,"8450 Hwy. 90, Bay St. Louis 39520",(228) 467-5573,(228) 255-5851,,,,,,2016-2020 Blue Book,
Harrison,Justice Court Clerk ,Greg Illich," P.O. Box 1754, Gulfport 39502",(228) 865-4213,(228) 865-4216,,,,,,2016-2020 Blue Book,
Hinds,Justice Court Clerk ,Patricia T. Woods,"P.O. Box 3490, Jackson 39207",(601) 965-8800,(601) 973-5532,,,,,,2016-2020 Blue Book,
Holmes,Justice Court Clerk ,Stella Ross,"P.O. Box 99, Lexington 39095",(662) 834-4565,(662) 834-1402,,,,,,2016-2020 Blue Book,
Humphreys,Justice Court Clerk ,Sabdra Overton,"102 Castleman St., Belzoni 39038",(662) 247-4337,(662) 247-1095,,,,,,2016-2020 Blue Book,
Issaquena,Justice Court Clerk ,Sharon Perkins,"P.O. Box 58, Mayersville 39113",(662) 873-6287,(662) 873-2094,,,,,,2016-2020 Blue Book,
Itawamba,Justice Court Clerk ,Shelia Spradling," 304 W. Wiygul St., Ste. D, Fulton 38843",(662) 862-4315,(662) 862-5805,,,,,,2016-2020 Blue Book,
Jackson,Justice Court Administrator,Lisa Fairley,"5343 Jefferson St., Moss Point 39563",(228) 769-3080,(228) 769-3364,,,,,,2016-2020 Blue Book,
Jasper,Justice Court Clerk ,Lydia Pittman,"P.O. Box 1054, Bay Springs 39422",(601) 764-2065,(601) 764-3402,"P.O. Box 39, Paulding 39348",(601) 727-2247,(601) 764-2246,,,2016-2020 Blue Book,
Jefferson,Justice Court Clerk ,Marilyn Jones,"P.O. Box 1047, Fayette 39069",(601) 786-8594,(601) 786-6017,,,,,,2016-2020 Blue Book,
Jefferson davis,Justice Court Clerk ,Latonya Blanchard,"P.O. Box 1407, Prentiss 39474",(601) 792-5129,(601) 792-5980,,,,,,2016-2020 Blue Book,
Jones,Justice Court Clerk ,Stacy Walls,"5180 Hwy. 11 N, Ellisville 39437",(601) 428-3137,(601) 428-0526,,,,,,2016-2020 Blue Book,
Kemper,Justice Court Clerk ,Tami Dawkins,"P.O. Box 661, DeKalb 39328",(601) 743-2793,(601) 743-2789,,,,,,2016-2020 Blue Book,
Lafayette,Justice Court Clerk ,Jill Carwyle,"713 Jackson Ave., Oxford 38655",(662) 234-0727,(662) 238-7990,,,,,,2016-2020 Blue Book,
Lamar,Justice Court Clerk ,Sandra Owen," P.O. Box 1010, Purvis 39475",(601) 794-2950,(601) 794-1076,,,,,,2016-2020 Blue Book,
Lauderdale,Justice Court Clerk ,Darlene Jones,"P.O. Box 5126, Meridian 39302-5126",(601) 482-9874,(601) 482-9813,,,,,,2016-2020 Blue Book,
Lawrence,Justice Court Clerk ,Elizabeth Smith," P.O. Box 903, Monticello 39654",(601) 587-4854,(601) 587-0755,,,,,,2016-2020 Blue Book,
Leake,Justice Court Clerk ,Adrianna Wilcher," P.O. Box 69, Carthage 39051",(601) 267-5677,(601) 267-6134,,,,,,2016-2020 Blue Book,
Lee,Justice Court Clerk ,Debbie Berryman,"P.O. Box 108, Tupelo 38802",(662) 432-2500,(662) 680-6021,,,,,,2016-2020 Blue Book,
Leflore,Justice Court Clerk ,Larresia Hunt,"P.O. Box 8056, Greenwood 38935",(662) 453-1605,(662) 455-8759,,,,,,2016-2020 Blue Book,
Lincoln,Justice Court Clerk ,Sharon Lofton," P.O. Box 767, Brookhaven 39602",(601) 835-3474,(601) 835-3494,,,,,,2016-2020 Blue Book,
Lowndes,Justice Court Clerk ,Linder D. Erby,"11 Airline Rd., Columbus 39702",(662) 329-5929,(662) 245-4619,,,,,,2016-2020 Blue Book,
Madison,Justice Court Clerk ,Susan H. McCarty,"2961 S. Liberty, Canton 39046",(601) 859-6337,(601) 859-5878,,,,,,2016-2020 Blue Book,
Marion,Justice Court Clerk ,Wynette Parkman," 500 Courthouse Sq., Ste. 2, Columbia 39429",(601) 736-2572,(601) 736-2580,,,,,,2016-2020 Blue Book,
Marshall,Justice Court Clerk ,Monet Autry," P.O. Drawer 729, Holly Springs 38635",(662) 252-3585,(662) 252-0028,,,,,,2016-2020 Blue Book,
Monroe,Justice Court Clerk ,Tina Morrow,"P.O. Box 518, Amory 38821",(662) 256-8493,(662) 256-7876,,,,,,2016-2020 Blue Book,
Montgomery,Justice Court Clerk ,Karen Carter,"P.O. Box 229, Winona 38967",(662) 283-2290,(662) 283-2052,,,,,,2016-2020 Blue Book,
Neshoba,Justice Court Clerk ,Kathy Warren," 200 Byrd Ave., Philadelphia 39350",(601) 656-4053,(601) 656-6482,,,,,,2016-2020 Blue Book,
Newton,Justice Court Clerk ,Sue Graham," P.O. Box 69, Decatur 39327",(601) 635-2927,(601) 635-4047,,,,,,2016-2020 Blue Book,
Noxubee,Justice Court Clerk ,Deanna Sanders,"P.O. Box 550, Macon 39341",(662) 726-5834,(662) 726-2944,,,,,,2016-2020 Blue Book,
Oktibbeha,Justice Court Clerk ,Nora Goliday," 104 Felix Long Dr., Starkville 39759",(662) 324-3032,(662) 388-1078,,,,,,2016-2020 Blue Book,
Panola,Justice Court Clerk ,Charlotte Capwell,"P.O. Box 249, Sardis 38666",(662) 487-2080,(662) 487-2008,,,,,,2016-2020 Blue Book,
Pearl river,Justice Court Clerk ,Kathy Mason,"169 Savannah-Millard Rd., Ste. A, Poplarville 39470",(601) 403-2575,(601) 403-2553,,,,,,2016-2020 Blue Book,
Perry,Justice Court Clerk ,Teresa Watford,"P.O. Box 455, New Augusta 39462",(601) 964-8366,(601) 964-8368,,,,,,2016-2020 Blue Book,
Pike,Justice Court Clerk ,Andrannette Jordan," P.O. Box 509, Magnolia 39652",(601) 783-5333,(601) 783-4181,,,,,,2016-2020 Blue Book,
Pontotoc,Justice Court Clerk ,Lauren Munn,"29 E. Washington, Pontotoc 38863",(662) 489-3921,(662) 488-2986,,,,,,2016-2020 Blue Book,
Prentiss,Justice Court Clerk ,Donna Inman," 1901-C E. Chambers Dr., Booneville 38829",(662) 728-8696,(662) 728-2009,,,,,,2016-2020 Blue Book,
Quitman,Justice Court Clerk ,Gloria Survillion,"P.O. Box 100, Marks 38646",(662) 326-2104,(662) 326-2330,,,,,,2016-2020 Blue Book,
Rankin,Justice Court Clerk ,Jessica Massey," P.O. Box 71, Brandon 39043",(601) 824-2672,(601) 824-2668,,,,,,2016-2020 Blue Book,
Scott,Justice Court Clerk ,Betty Odom," P.O. Box 371, Forest 39074",(601) 469-4555,(601) 469-5193,,,,,,2016-2020 Blue Book,
Sharkey,Justice Court Clerk ,Princess Turner,"P.O. Box 235, Rolling Fork 39159",(662) 873-6140,(662) 873-0154,,,,,,2016-2020 Blue Book,
Simpson,Justice Court Clerk ,Kim Jackson," 1498 Simpson Hwy. 149, Mendenhall 39114",(601) 847-5848,(601) 847-5856,,,,,,2016-2020 Blue Book,
Smith,Justice Court Clerk ,Melissa Walker,"P.O. Box 171, Raleigh 39153",(601) 782-4334,(601) 782-4005,,,,,,2016-2020 Blue Book,
Stone,Justice Court Clerk ,Glenda Joyce Cobb,"231 Third St., Wiggins 39577",(601) 928-4415,(601) 928-2114,,,,,,2016-2020 Blue Book,
Sunflower,Justice Court Clerk ,Patricia Strong," P.O. Box 487, Indianola 38751",(662) 887-6921,(662) 887-2798,,,,,,2016-2020 Blue Book,
Tallahatchie,Justice Court Clerk (D-1),Ann Staten,"P.O. Box 440, Charleston 38921",(662) 647-3477,(662) 647-2208,,,,,,2016-2020 Blue Book,
Tallahatchie,Justice Court Clerk (D-2),Debbie Morrow,"P.O. Box 155, Sumner 38957",(662) 375-9452,(662) 375-8200,,,,,,2016-2020 Blue Book,
Tate,Justice Court Clerk ,Mary McAbee," 103 Preston McKay Dr., Senatobia 38668",(662) 562-7626,(662) 562-7663,,,,,,2016-2020 Blue Book,
Tippah,Justice Court Clerk ,Gloria L. White,"205-B Spring Ave., Ripley 38663",(662) 837-8842,(662) 837-1398,,,,,,2016-2020 Blue Book,
Tishomingo,Justice Court Clerk ,Michelle Pounders," 1008 Battleground Dr., Iuka 38852",(662) 423-7033,(662) 423-7050,,,,,,2016-2020 Blue Book,
Tunica,Justice Court Clerk ,Jennifer Williams," 5130 Old Moon Landing Rd., Tunica 38676",(662) 363-2178,(662) 363-4234,,,,,,2016-2020 Blue Book,
Union,Justice Court Clerk ,Larissa Edwards," P.O. Box 27, New Albany 38652",(662) 534-1951,(662) 534-1935,,,,,,2016-2020 Blue Book,
Walthall,Justice Court Clerk ,Janet Laird,"P.O. Box 507, Tylertown 39667",(601) 876-2311,(601) 876-6866,,,,,,2016-2020 Blue Book,
Walthall,Justice Court Deputy Clerk,Ashley Purvis,"P.O. Box 507, Tylertown 39667",(601) 876-2311,(601) 876-6866,,,,,,2016-2020 Blue Book,
Warren,Justice Court Clerk ,Carla Fields,"P.O. Box 1598, Vicksburg 39181",(601) 634-6402,(601) 630-8015,,,,,,2016-2020 Blue Book,
Washington,Justice Court Clerk ,Eloise Brooks,"905 W. Alexander, Greenville 38701",(662) 332-0633,(662) 390-4760,,,,,,2016-2020 Blue Book,
Wayne,Justice Court Clerk ,Kristy Palmer James,"810 Chickasawhay St., Waynesboro 39367",(601) 735-3118,(601) 735-6266,,,,,,2016-2020 Blue Book,
Webster,Justice Court Clerk ,Irene Surma,"24 E. Fox Ave., Eupora 39744",(662) 258-2590,(662) 258-3093,,,,,,2016-2020 Blue Book,
Wilkinson,Justice Court Clerk ,Erica Johnson,"P.O. Box 40, Woodville 39669",(601) 888-3538,(601) 888-7591,,,,,,2016-2020 Blue Book,
Winston,Justice Court Clerk ,Janet Jackson,"115 South Court, Louisville 39339",(662) 773-6016,(662) 773-8817,,,,,,2016-2020 Blue Book,
Yalobusha,Justice Court Clerk ,Carol Wilbourn,"P.O. Box 218, Coffeeville 38922",(662) 675-8115,(662) 675-8188,,,,,,2016-2020 Blue Book,
Yazoo,Justice Court Clerk ,Demetrius Westbrook," P.O. Box 798, Yazoo City 39194",(662) 746-8181,(662) 746-2023,,,,,,2016-2020 Blue Book,
