county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
Lincoln,Tax Assessor,Blake Pickering," 301 S. First, #109, Brookhaven 39601",(601) 835-3425,(601) 835-3424,,,,,,2016-2020 Blue Book,
Jones,Tax Assessor,Ramona Q. Blackledge," 101 N. Court St., Ste. A, Ellisville 39437",(601) 477-3261,(601) 477-3253," P.O. Box 511, Laurel 39441",(601) 426-3248,(601) 428-3102,,,2016-2020 Blue Book,
Simpson,Tax Assessor,Charles Baldwin," P.O. Box 459, Mendenhall 39114",(601) 847-1744,(601) 847-2119,,,,,,2016-2020 Blue Book,
Noxubee,Tax Assessor,Betty Robinson,"2832 Jefferson, Macon 39341",(662) 726-4744,(662) 726-2679,,,,,,2016-2020 Blue Book,
Leflore,Tax Assessor,Leroy Ware,"P.O. Box 1957, Greenwood 38935",(662) 453-7900,(662) 455-8752,,,,,,2016-2020 Blue Book,
Grenada,Tax Assessor,David Melton,"P.O. Box 1488, Grenada 38902-1488",(662) 226-1741,(662) 226-3701,,,,,,2016-2020 Blue Book,
Tippah,Tax Assessor,Joe Atkins,"102-D N. Main St., Ripley 38663",(662) 837-9956,(662) 837-9138,,,,,,2016-2020 Blue Book,
Itawamba,Tax Assessor,Tami M. Beane," P.O. Box 158, Fulton 38843",(662) 862-7598,(662) 862-7598,,,,,,2016-2020 Blue Book,
Pearl river,Tax Assessor,Gary Beech,"P.O. Box 509, Poplarville 39470",(601) 403-2320,(601) 403-2229,,,,,,2016-2020 Blue Book,
Chickasaw,Tax Assessor,Sue Ard," 1 Pinson Square, Rm. 3, Houston 38851",(662) 456-3327,(662) 456-5496," 234 W. Main St., Rm. 204, Okolona 38860",(662) 447-2242,(662) 447-5022,,,2016-2020 Blue Book,
Kemper,Tax Assessor,Jocelyn Robertson,"P.O. Box 328, DeKalb 39328",(601) 743-2693,(601) 743-4173,,,,,,2016-2020 Blue Book,
Bolivar,Tax Assessor,Nancy J. Havens,"P.O. Box 339, Rosedale 38769",(662) 759-6244,(662) 846-2936,"P.O. Box 248, Cleveland 38732",(662) 843-2285,,,,2016-2020 Blue Book,
Covington,Tax Assessor,Cindy Aultman Sanford,"P.O. Box 1537, Collins 39428",(601) 765-6402,(601) 765-1052,,,,,,2016-2020 Blue Book,
Wilkinson,Tax Assessor,Jeremy Ephion,"P.O. Box 695, Woodville 39669",(601) 888-4562,(601) 888-7335,,,,,,2016-2020 Blue Book,
Clarke,Tax Assessor,Hope Moore Herrington," P.O. Drawer 69, Quitman 39355",(601) 776-6931,(601) 776-5084,,,,,,2016-2020 Blue Book,
Smith,Tax Assessor,Becky Martin,"P.O. Box 157, Raleigh 39153",(601) 782-9803,(601) 782-4006,,,,,,2016-2020 Blue Book,
Lamar,Tax Assessor,Jack Smith," P.O. Box 309, Purvis 39475",(601) 794-8504,(601) 794-1064,,,,,,2016-2020 Blue Book,
Marion,Tax Assessor,Teresa Terrell," 250 Broad St., Ste. 3, Columbia 39429",(601) 736-3157,(601) 731-2304,,,,,,2016-2020 Blue Book,
Franklin,Tax Assessor,T. J. (Jeff) Mullins IV," P.O. Box 456, Meadville 39653",(601) 384-2359,(601) 384-3040,,,,,,2016-2020 Blue Book,
Leake,Tax Assessor,Kim Withers," 101 Court Sq., Ste. 123, Carthage 39051",(601) 267-3021,(601) 267-6131,,,,,,2016-2020 Blue Book,
Montgomery,Tax Assessor,Velma (Pam) Young," P.O. Box 674, Winona 38967",(662) 283-2112,(662) 283-2769,,,,,,2016-2020 Blue Book,
Rankin,Tax Assessor,John A. Sullivan," 211 E. Government St., Brandon 39042",(601) 825-1470,(601) 824-2457,,,,,,2016-2020 Blue Book,
Hancock,Tax Assessor,Jimmie Ladner,"P.O. Box 2428, Bay St. Louis 39521",(228) 467-5727,(228) 466-6239,,,,,,2016-2020 Blue Book,
Jefferson,Tax Assessor,Samantha F. Jackson," P.O. Box 357, Fayette 39069",(601) 786-3781,(601) 786-3262,,,,,,2016-2020 Blue Book,
Copiah,Tax Assessor,Todd Mooney," P.O. Box 730, Hazlehurst 39083",(601) 894-2721,(601) 894-3026,,,,(601) 953-9948,,2016-2020 Blue Book,
Calhoun,Tax Assessor,Bill Malone,"P.O. Box 6, Pittsboro 38951",(662) 412-3140,(662) 412-3143,,,,,,2016-2020 Blue Book,
Lowndes,Tax Assessor,Greg D. Andrews,"P.O. Box 1077, Columbus 39703",(662) 329-5707,(662) 241-1935,,,,,,2016-2020 Blue Book,
Carroll,Tax Assessor,Wilton A. Neal,"P.O. Box 193, Carrollton 38917",(662) 237-9217,(662) 237-4659,"P.O. Box 156, Vaiden 39176",(662) 464-8852,(662) 464-8802,,,2016-2020 Blue Book,
Oktibbeha,Tax Assessor,Allen Morgan," 101 East Main St., Starkville 39759",(662) 323-1273,(662) 338-1066,,,,,,2016-2020 Blue Book,
Marshall,Tax Assessor,Juanita M. Dillard,"P.O. Box 40, Holly Springs 38635",(662) 252-6209,(662) 252-1881,,,,,,2016-2020 Blue Book,
Lauderdale,Tax Assessor,James D. Rainey,"P.O. Box 687, Meridian 39302-0687",(601) 482-9779,(601) 484-3976,,,,,,2016-2020 Blue Book,
Panola,Tax Assessor,David Garner,"215 S. Pocahontas, Sardis 38666",(662) 487-2092,(662) 487-2090,"151 Public Sq., Ste. E, Batesville 38606",(662) 563-6270,(662) 563-4665,,,2016-2020 Blue Book,
Coahoma,Tax Assessor,Hattie B. Shivers,"P.O. Box 219, Clarksdale 38614",(662) 624-3020,(662) 624-3075,,,,,,2016-2020 Blue Book,
Scott,Tax Assessor,Alison Crapps," 100 E. First St., Forest 39074",(601) 469-4051,(601) 469-5184,,,,,,2016-2020 Blue Book,
Hinds,Tax Assessor,Charles E. Stokes,"P.O. Box 22908, Jackson 39225-2908",(601) 968-6626,(601) 968-6593,"P.O. Box 549, Raymond 39154",(601) 857-8787,(601) 857-2830,,,2016-2020 Blue Book,
Issaquena,Tax Assessor,Pam Horton,"P.O. Box 67, Mayersville 39113",(662) 873-4665,(662) 873-2600,,,,,,2016-2020 Blue Book,
Quitman,Tax Assessor,Alice Smith,"220 Chestnut St., Ste. 1, Marks 38646.. (662) 326-8928",f(662) 326-8004,(662) 326-8004,,,,,,2016-2020 Blue Book,
Newton,Tax Assessor,May Bender," P.O. Box 7, Decatur 39327",(601) 635-2517,(601) 635-3402,,,,,,2016-2020 Blue Book,
Claiborne,Tax Assessor,Diane T. Davaul,"P.O. Box 469, Port Gibson 39150",(601) 437-5591,(601) 437-4430,,,,,,2016-2020 Blue Book,
Lafayette,Tax Assessor,Sylvia J. Baker,"300 N. Lamar, Ste. 103, Oxford 38655",(662) 234-5562,(662) 238-7992,,,,,,2016-2020 Blue Book,
Perry,Tax Assessor,Amy Lott Cochran,"P.O. Box 306, New Augusta 39642",(601) 964-3398,(601) 964-3663,,,,,,2016-2020 Blue Book,
Greene,Tax Assessor,Mark Holder,"P.O. Box 477, Leakesville 39451",(601) 394-2378,(601) 394-6199,,,,,,2016-2020 Blue Book,
George,Tax Assessor,Vincent E. (Vince) Carlisle," 5130 Main St., Ste. B, Lucedale 39452",(601) 947-7541,(601) 947-6597,,,,,,2016-2020 Blue Book,
Monroe,Tax Assessor,Mitzi Faulkner Presley," P.O. Drawer 636, Aberdeen 39730",(662) 369-2033,(662) 369-4429,,,,,,2016-2020 Blue Book,
Humphreys,Tax Assessor,Margaret (Mimi) Parks," 102 Castleman St., Belzoni 39038",(662) 247-3174,(662) 247-5657,,,,,,2016-2020 Blue Book,
Jackson,Tax Assessor,Nick Elmore,"P.O. Box 998, Pascagoula 39568-0998.. (228) 769-3070",f(228) 769-3005,(228) 769-3005,,,,,,2016-2020 Blue Book,
Tishomingo,Tax Assessor,David Wayne Crum," 1008 Battleground Dr., Iuka 38852",(662) 423-7059,(662) 423-9544,,,,,,2016-2020 Blue Book,
Tunica,Tax Assessor,Norma Anderson," P.O. Box 655, Tunica 38676",(662) 363-1266,(662) 357-5933,,,,,,2016-2020 Blue Book,
Webster,Tax Assessor,Barbara Gore,"P.O. Box 417, Walthall 39771",(662) 258-6446,(662) 258-7686,,,,,,2016-2020 Blue Book,
Tallahatchie,Tax Assessor,Dorothy M. Martin," P.O. Box 307, Charleston 38921",(662) 647-8922,(662) 647-8490," P.O. Box 87, Sumner 38957",(662) 375-8386,(662) 375-7275,,,2016-2020 Blue Book,
Yalobusha,Tax Assessor,Linda Rae Shuffield," P.O. Box 260, Coffeeville 38922",(662) 675-8707,(662) 675-8004," P.O. Box 1552, Water Valley 38965",(662) 473-1235,(662) 473-5020,,,2016-2020 Blue Book,
Alcorn,Tax Assessor,Kenneth Brawner,"P.O. Box 179, Corinth 38835-0179",(662) 286-7733,(662) 286-2548,,,,,,2016-2020 Blue Book,
Holmes,Tax Assessor,Linda Rollins,"P.O. Box 449, Lexington 39095",(662) 834-2865,(662) 834-9010,,,,,,2016-2020 Blue Book,
Washington,Tax Assessor,Mark K. Seard,"P.O. Box 1526, Greenville 38702",(662) 334-2651,(662) 334-2786,,,,,,2016-2020 Blue Book,
Madison,Tax Assessor,Norman Cannady,"P.O. Box 292, Canton 39046",(601) 859-1921,(601) 859-2899,,,,,,2016-2020 Blue Book,
Neshoba,Tax Assessor,Mike Lewis," 401 E. Beacon St., Ste. 105, Philadelphia 39350",(601) 656-4541,(601) 656-5121,,,,,,2016-2020 Blue Book,
Tate,Tax Assessor,Ed Taylor," 201 Ward St., Senatobia 38668",(662) 562-6011,(662) 562-7486,,,,,,2016-2020 Blue Book,
Walthall,Tax Assessor,Peggy Hilburn,"200 Ball Ave., Tylertown 39667",(601) 876-4932,(601) 876-9255,,,,,,2016-2020 Blue Book,
Winston,Tax Assessor,Darlene Bane,"113 W. Main St., Louisville 39339",(662) 773-3694,(662) 773-8816,,,,,,2016-2020 Blue Book,
Stone,Tax Assessor,Charles Williams Jr,"308 Court St., Wiggins 39577",(601) 928-3121,(601) 928-2507,,,,,,2016-2020 Blue Book,
Wayne,Tax Assessor,Debbie J. Richards,"Courthouse, 609 Azalea, Waynesboro 39367",(601) 735-3381,(601) 735-6272,,,,,,2016-2020 Blue Book,
Warren,Tax Assessor,Ben Luckett,"P.O. Box 351, Vicksburg 39181",(601) 638-6161,(601) 630-8034,,,,,,2016-2020 Blue Book,
Prentiss,Tax Assessor,Bob Maddox," P.O. Box 342, Booneville 38829",(662) 728-4349,(662) 728-4472,,,,,,2016-2020 Blue Book,
Clay,Tax Assessor,Paige Lampkin,"P.O. Box 795, West Point 39773",(662) 494-3432,(662) 494-7452,,,,,,2016-2020 Blue Book,
Choctaw,Tax Assessor,Lori Power Kerr,"P.O. Box 907, Ackerman 39735",(662) 285-6320,(662) 285-9067,,,,,,2016-2020 Blue Book,
Sharkey,Tax Assessor,Tracy Brown,"P.O. Box 245, Rolling Fork 39159",(662) 873-4317,(662) 873-0115,,,,,,2016-2020 Blue Book,
Harrison,Tax Assessor,Tal Flurry," P.O. Box 462, Gulfport 39502",(228) 435-8266,(228) 865-4076," P.O. Box 99, Biloxi 39533",(228) 435-8266,(228) 435-8267,,,2016-2020 Blue Book,
Adams,Tax Assessor,Reynolds Atkins,"115 South Wall St., Natchez 39120",(601) 442-6732,(601) 445-7963,,,,,,2016-2020 Blue Book,
