date,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson
2017-11-29,5,34,5,0,2
2017-11-30,5,34,5,0,2
2017-12-02,5,34,5,0,2
2017-12-03,5,34,5,0,2
2017-12-04,5,34,5,0,2
2017-12-05,5,34,5,0,1
2017-12-06,5,34,6,0,1
2017-12-07,5,34,6,0,1
2017-12-08,4,24,5,0,5
2017-12-09,4,26,6,0,1
2017-12-10,4,26,6,0,1
2017-12-11,4,26,6,0,1
2017-12-12,4,24,5,0,5
2017-12-13,4,23,5,0,5
2017-12-14,4,22,5,0,9
2017-12-15,4,23,5,0,9
2017-12-16,4,23,5,0,9
2017-12-17,4,23,5,0,9
2017-12-18,2,22,5,0,9
2017-12-19,2,20,5,0,8
2017-12-20,4,20,6,0,8
2017-12-21,4,20,6,0,8
2017-12-22,4,18,6,0,8
2017-12-23,4,18,6,0,8
2017-12-24,4,18,6,0,8
2017-12-25,4,18,6,0,8
2017-12-26,4,18,6,0,8
2017-12-27,4,16,6,0,8
2017-12-28,4,16,6,0,8
2017-12-29,4,16,6,0,7
2017-12-30,4,16,6,0,7
2017-12-31,4,16,6,0,7
2018-01-02,4,15,6,0,7
2018-01-03,4,15,6,0,7
2018-01-04,4,17,6,0,7
2018-01-05,4,17,6,0,7
2018-01-06,4,17,6,0,7
2018-01-07,4,17,6,0,7
2018-01-08,4,17,6,0,7
2018-01-09,3,17,6,0,7
2018-01-10,3,17,6,0,7
2018-01-11,3,15,6,0,7
2018-01-12,3,15,6,0,7
2018-01-13,3,15,6,0,7
2018-01-14,3,15,6,0,7
2018-01-15,3,15,6,0,7
2018-01-16,3,15,5,0,7
2018-01-17,3,15,5,0,7
2018-01-18,3,14,5,0,7
2018-01-19,3,13,6,0,5
2018-01-20,3,13,6,0,5
2018-01-21,3,13,6,0,5
2018-01-22,4,13,6,0,5
2018-01-23,4,15,6,0,5
2018-01-24,4,15,6,0,5
2018-01-25,4,15,6,0,5
2018-01-26,3,15,5,0,5
2018-01-27,3,15,5,0,5
2018-01-28,3,15,5,0,5
2018-01-29,3,15,7,0,5
2018-01-30,3,15,7,0,5
2018-01-31,3,21,7,0,5
2018-02-02,4,21,6,0,5
2018-02-03,4,21,6,0,5
2018-02-04,4,21,6,0,5
2018-02-05,4,21,6,0,6
2018-02-06,4,21,8,0,6
2018-02-07,4,21,8,0,6
2018-02-08,4,26,8,0,6
2018-02-09,4,26,8,0,5
2018-02-10,4,26,8,0,5
2018-02-11,4,26,8,0,5
2018-02-12,4,26,8,0,4
2018-02-13,4,26,8,0,4
2018-02-14,4,26,8,0,4
2018-02-15,2,24,8,0,4
2018-02-16,2,24,8,0,4
2018-02-17,2,24,8,0,4
2018-02-18,2,24,8,0,4
2018-02-19,2,24,8,0,4
2018-02-20,2,23,8,0,4
2018-02-21,2,25,8,0,4
2018-02-22,2,25,8,0,5
2018-02-23,2,25,8,0,5
2018-02-24,2,25,8,0,5
2018-02-25,2,25,8,0,5
2018-02-26,2,24,8,0,5
2018-02-27,2,24,8,0,5
2018-02-28,2,24,8,0,5
2018-03-02,2,24,9,0,5
2018-03-03,2,24,9,0,5
2018-03-04,2,24,9,0,5
2018-03-05,2,24,9,0,4
2018-03-06,2,24,9,0,4
2018-03-07,2,23,8,0,4
2018-03-08,4,27,8,0,4
2018-03-09,4,27,8,0,3
2018-03-10,4,27,8,0,2
2018-03-11,4,27,8,0,2
2018-03-12,4,27,8,0,2
2018-03-13,4,27,8,0,0
2018-03-14,4,27,8,0,0
2018-03-15,4,27,11,0,0
2018-03-16,4,27,8,0,0
2018-03-17,4,27,11,0,0
2018-03-18,4,27,11,0,0
2018-03-19,4,27,11,0,0
2018-03-20,4,27,9,0,0
2018-03-21,4,27,11,0,0
2018-03-22,4,27,11,0,0
2018-03-23,4,27,11,0,0
2018-03-24,4,27,11,0,0
2018-03-25,4,27,11,0,0
2018-03-26,4,27,11,0,0
2018-03-27,4,27,11,0,0
2018-03-28,4,27,11,0,0
2018-03-29,4,27,11,0,0
2018-03-30,42,27,11,0,0
2018-03-31,42,27,11,0,0
2018-04-02,41,29,11,0,0
2018-04-03,4,29,11,0,0
2018-04-04,4,29,13,0,0
2018-04-05,4,29,13,0,0
2018-04-06,4,29,13,0,0
2018-04-07,4,29,13,0,0
2018-04-08,4,29,13,0,0
2018-04-09,4,29,13,0,0
2018-04-10,4,31,13,0,0
2018-04-11,4,31,13,0,0
2018-04-12,4,31,13,0,0
2018-04-13,4,11,11,0,0
2018-04-14,4,11,11,0,0
2018-04-15,4,11,11,0,0
2018-04-16,4,11,11,0,0
2018-04-17,4,11,11,0,0
2018-04-18,4,11,11,0,0
2018-04-19,4,11,11,0,0
2018-04-20,4,11,11,0,0
2018-04-21,4,11,11,0,0
2018-04-22,4,11,11,0,0
2018-04-23,4,11,11,0,0
2018-04-24,4,11,10,0,0
2018-04-25,4,11,10,0,0
2018-04-26,4,11,10,0,0
2018-04-27,4,11,10,0,0
2018-04-28,4,11,10,0,0
2018-04-29,4,11,10,0,0
2018-04-30,4,11,10,0,0
2018-05-02,4,11,9,0,0
2018-05-03,4,11,9,0,0
2018-05-04,4,11,9,0,0
2018-05-05,4,11,9,0,0
2018-05-06,4,11,9,0,0
2018-05-07,4,11,9,0,0
2018-05-08,4,18,10,0,0
2018-05-09,4,18,10,0,0
2018-05-10,4,18,10,0,0
2018-05-11,4,17,10,0,0
2018-05-12,4,17,10,0,0
2018-05-13,4,17,10,0,0
2018-05-14,4,17,10,0,0
2018-05-15,4,17,10,0,0
2018-05-16,3,17,7,0,0
2018-05-17,2,18,7,0,0
2018-05-18,2,18,8,0,0
2018-05-19,2,18,8,0,0
2018-05-20,2,18,8,0,0
2018-05-21,3,18,8,0,0
2018-05-22,3,19,7,0,0
2018-05-23,3,19,7,0,0
2018-05-24,3,19,7,0,0
2018-05-25,3,19,7,0,0
2018-05-26,3,19,7,0,0
2018-05-27,3,19,7,0,0
2018-05-28,3,18,7,0,0
2018-05-29,3,18,7,0,0
2018-05-30,3,18,7,0,0
2018-05-31,3,21,7,0,0
2018-06-01,3,21,7,0,0
2018-06-02,3,21,7,0,0
2018-06-03,3,21,7,0,0
2018-06-04,3,21,7,0,0
2018-06-05,2,21,8,0,0
2018-06-06,2,21,8,0,0
2018-06-07,2,23,8,0,0
2018-06-08,2,23,8,0,0
2018-06-09,2,23,8,0,0
2018-06-10,2,23,8,0,0
2018-06-11,2,23,8,0,0
2018-06-12,2,23,8,0,0
2018-06-13,2,23,8,0,0
2018-06-14,2,23,8,0,0
2018-06-15,2,23,8,0,0
2018-06-16,2,23,8,0,0
2018-06-17,2,23,8,0,0
2018-06-18,2,22,6,0,0
2018-06-19,3,22,6,0,0
2018-06-20,3,29,6,0,0
2018-06-21,3,29,6,0,0
2018-06-22,3,29,6,0,0
2018-06-23,3,29,6,0,0
2018-06-24,3,29,6,0,0
2018-06-25,3,29,6,0,0
2018-06-26,3,29,5,0,0
2018-06-27,3,29,5,0,0
2018-06-28,3,29,5,0,0
2018-06-29,3,29,8,0,0
2018-07-02,3,29,8,0,0
2018-07-03,2,28,8,0,0
2018-07-04,2,28,8,0,0
2018-07-05,2,28,6,0,0
2018-07-06,1,28,6,0,0
2018-07-07,1,28,6,0,0
2018-07-08,1,28,6,0,0
2018-07-09,1,28,6,0,0
2018-07-10,1,25,6,0,0
2018-07-11,1,26,6,0,0
2018-07-12,1,29,6,0,0
2018-07-13,1,29,6,0,0
2018-07-14,1,29,6,0,0
2018-07-15,1,29,6,0,0
2018-07-16,1,29,6,0,0
2018-07-17,1,29,6,0,0
2018-07-18,1,29,6,0,0
2018-07-19,1,28,6,0,0
2018-07-20,1,26,6,0,0
2018-07-21,1,26,6,0,0
2018-07-22,1,26,6,0,0
2018-07-23,1,27,6,0,0
2018-07-24,1,27,6,0,0
2018-07-25,1,27,6,0,0
2018-07-26,1,30,6,0,0
2018-07-27,1,30,6,0,0
2018-07-28,1,30,6,0,0
2018-07-29,1,30,6,0,0
2018-07-30,1,30,5,0,0
2018-07-31,1,30,5,0,0
2018-08-02,1,30,5,0,0
2018-08-03,1,30,5,0,0
2018-08-04,1,30,5,0,0
2018-08-05,1,30,5,0,0
2018-08-06,1,30,3,0,0
2018-08-07,1,33,3,0,0
2018-08-08,1,33,3,0,0
2018-08-09,1,33,3,0,0
2018-08-10,1,33,3,0,0
2018-08-11,1,33,3,0,0
2018-08-12,1,33,3,0,0
2018-08-13,1,33,3,0,0
2018-08-14,1,33,5,0,0
2018-08-15,1,34,5,0,0
2018-08-16,1,34,5,0,0
2018-08-17,1,34,5,0,0
2018-08-18,1,34,5,0,0
2018-08-19,1,34,5,0,0
2018-08-20,1,13,5,0,0
2018-08-21,1,13,6,0,0
2018-08-22,1,13,6,0,0
2018-08-23,1,17,6,0,0
2018-08-24,1,17,6,0,0
2018-08-25,1,17,6,0,1
2018-08-26,1,17,6,0,1
2018-08-27,1,16,6,0,1
2018-08-28,1,16,6,0,1
2018-08-29,1,13,6,0,1
2018-08-30,1,13,7,0,1
2018-08-31,1,13,7,0,1
2018-09-02,1,13,7,0,1
2018-09-03,1,13,7,0,1
2018-09-04,1,13,7,0,1
2018-09-05,1,20,6,0,1
2018-09-06,1,20,6,0,1
2018-09-07,1,20,6,0,1
2018-09-08,1,20,6,0,1
2018-09-09,1,20,6,0,1
2018-09-10,1,20,6,0,1
2018-09-11,1,20,6,0,1
2018-09-12,1,20,6,0,1
2018-09-13,1,20,6,0,1
2018-09-14,1,20,6,0,1
2018-09-15,1,20,6,0,1
2018-09-16,1,20,6,0,0
2018-09-17,1,20,6,0,0
2018-09-18,1,20,6,0,0
2018-09-19,1,19,7,0,0
2018-09-20,1,19,8,0,0
2018-09-21,1,19,8,0,0
2018-09-22,1,19,8,0,0
2018-09-23,2,19,8,0,0
2018-09-24,2,19,6,0,0
2018-09-25,2,19,8,0,0
2018-09-26,2,25,8,0,0
2018-09-27,2,25,8,0,1
2018-09-28,2,25,8,0,1
2018-09-29,2,25,8,0,1
2018-09-30,2,25,8,0,1
2018-10-02,2,24,8,0,1
2018-10-03,2,24,8,0,1
2018-10-04,2,23,9,0,1
2018-10-05,2,23,9,0,1
2018-10-06,2,23,9,0,1
2018-10-07,2,23,9,0,1
2018-10-08,2,23,7,0,1
2018-10-09,2,23,7,0,1
2018-10-10,2,28,7,0,1
2018-10-11,2,27,8,0,1
2018-10-12,4,27,8,0,1
2018-10-13,4,27,8,0,1
2018-10-14,4,27,8,0,1
2018-10-15,4,27,8,0,1
2018-10-16,5,30,8,0,1
2018-10-17,5,29,8,0,1
2018-10-18,4,32,8,0,0
2018-10-19,4,32,8,0,0
2018-10-20,4,32,8,0,0
2018-10-21,4,30,8,0,0
2018-10-22,4,30,8,0,0
2018-10-23,4,30,8,0,0
2018-10-24,4,30,8,0,0
2018-10-25,4,30,8,0,0
2018-10-26,4,30,7,0,0
2018-10-27,4,30,7,0,0
2018-10-28,4,30,7,0,0
2018-10-29,4,30,7,0,0
2018-10-30,4,30,7,0,0
2018-10-31,4,30,4,0,0
2018-11-02,4,30,4,0,0
2018-11-03,4,30,4,0,0
2018-11-04,4,30,4,0,0
2018-11-05,4,30,4,0,0
2018-11-06,4,30,4,0,0
2018-11-07,4,32,6,0,0
2018-11-08,4,32,6,0,0
2018-11-09,3,32,6,0,0
2018-11-10,3,32,6,0,0
2018-11-11,3,31,6,0,0
2018-11-12,3,32,6,0,0
2018-11-13,3,30,6,0,0
2018-11-14,3,30,6,0,0
2018-11-15,3,30,6,0,0
2018-11-16,3,30,6,0,0
2018-11-17,3,30,6,0,0
2018-11-18,3,30,6,0,0
2018-11-19,3,30,8,0,0
2018-11-20,3,30,8,0,0
2018-11-21,3,29,8,0,0
2018-11-22,3,29,8,0,0
2018-11-23,3,29,8,0,0
2018-11-24,3,29,8,0,0
2018-11-25,3,29,8,0,0
2018-11-26,3,29,8,0,0
2018-11-27,3,32,8,0,0
2018-11-28,3,33,8,0,0
2018-11-29,3,33,8,0,0
2018-11-30,2,33,8,0,0
2018-12-02,2,33,8,0,0
2018-12-03,2,33,8,0,0
2018-12-04,2,33,8,0,0
2018-12-05,2,33,9,0,0
2018-12-06,2,33,9,0,0
2018-12-07,2,13,8,0,0
2018-12-08,2,13,8,0,0
2018-12-09,2,13,8,0,0
2018-12-10,2,13,8,0,0
2018-12-11,2,13,8,0,0
2018-12-12,2,14,7,0,0
2018-12-13,2,14,7,0,0
2018-12-14,2,14,7,0,0
2018-12-15,2,14,7,0,0
2018-12-16,2,14,7,0,0
2018-12-17,2,14,5,0,0
2018-12-18,2,14,5,0,0
2018-12-19,2,14,5,0,0
2018-12-20,2,14,5,0,0
2018-12-21,2,14,5,0,0
2018-12-22,2,14,5,0,0
2018-12-23,2,14,5,0,0
2018-12-24,2,14,5,0,0
2018-12-25,2,14,5,0,0
2018-12-26,2,14,5,0,0
2018-12-27,2,14,3,0,0
2018-12-28,2,17,3,0,0
2018-12-29,2,17,4,0,0
2018-12-30,2,17,4,0,0
2018-12-31,2,17,4,0,0
2019-01-02,2,17,4,0,0
2019-01-03,2,17,4,0,0
2019-01-04,2,17,5,0,0
2019-01-05,2,17,5,0,0
2019-01-06,2,17,5,0,0
2019-01-07,2,16,5,0,0
2019-01-08,2,17,5,0,0
2019-01-09,2,8,5,0,0
2019-01-10,2,9,5,0,0
2019-01-11,2,8,5,0,0
2019-01-12,2,8,5,0,0
2019-01-13,2,8,5,0,0
2019-01-14,2,8,5,0,0
2019-01-15,2,8,5,0,0
2019-01-16,2,8,5,0,0
2019-01-17,2,8,5,0,0
2019-01-18,2,8,5,0,0
2019-01-19,2,8,5,0,0
2019-01-20,2,8,5,0,0
2019-01-21,2,8,5,0,0
2019-01-22,3,6,5,0,0
2019-01-23,3,6,5,0,0
2019-01-24,3,6,5,0,0
2019-01-25,3,10,4,0,0
2019-01-26,3,10,4,0,0
2019-01-27,3,10,4,0,0
2019-01-28,3,10,4,0,0
2019-01-29,3,10,4,0,0
2019-01-30,2,10,4,0,0
2019-01-31,1,13,4,0,0
2019-02-02,2,12,3,0,0
2019-02-03,2,12,3,0,0
2019-02-04,2,12,4,0,0
2019-02-05,2,13,2,0,0
2019-02-06,3,13,2,0,0
2019-02-07,2,12,4,0,0
2019-02-08,2,12,4,0,0
2019-02-09,2,12,4,0,0
2019-02-10,2,12,4,0,0
2019-02-11,2,12,4,0,0
2019-02-12,2,12,4,0,0
2019-02-13,6,14,4,0,0
2019-02-14,7,14,4,0,0
2019-02-15,7,14,4,0,0
2019-02-16,7,14,4,0,0
2019-02-17,7,14,4,0,0
2019-02-18,7,14,4,0,0
2019-02-19,7,14,4,0,0
2019-02-20,7,15,6,0,0
2019-02-21,7,15,6,0,0
2019-02-22,7,16,6,0,0
2019-02-23,7,16,6,0,0
2019-02-24,7,16,6,0,0
2019-02-25,7,18,6,0,0
2019-02-26,7,18,6,0,0
2019-02-27,7,18,6,0,0
2019-02-28,7,18,6,0,0
2019-03-02,7,18,6,0,0
2019-03-03,7,18,6,0,0
2019-03-04,6,18,6,0,0
2019-03-05,6,21,6,0,0
2019-03-06,6,21,6,0,0
2019-03-07,8,21,6,0,0
2019-03-08,8,19,6,0,0
2019-03-09,8,19,6,0,0
2019-03-10,8,19,6,0,0
2019-03-11,8,19,6,0,0
2019-03-12,11,19,6,0,0
2019-03-13,12,20,6,0,0
2019-03-14,11,20,6,0,0
2019-03-15,12,20,6,0,0
2019-03-16,12,20,6,0,0
2019-03-17,12,20,6,0,0
2019-03-18,14,20,6,0,0
2019-03-19,14,20,5,0,0
2019-03-20,14,20,5,0,0
2019-03-21,14,20,5,0,0
2019-03-22,12,18,5,0,0
2019-03-23,12,18,5,0,0
2019-03-24,12,18,5,0,0
2019-03-25,13,18,5,0,0
2019-03-26,13,18,5,0,0
2019-03-27,12,18,5,0,0
2019-03-28,12,19,5,0,0
2019-03-29,12,19,5,0,0
2019-03-30,12,19,5,0,0
2019-03-31,12,19,5,0,0
2019-04-02,9,19,4,0,0
2019-04-03,10,19,4,0,0
2019-04-04,10,19,4,0,0
2019-04-05,10,19,4,0,0
2019-04-06,10,19,4,0,0
2019-04-07,10,19,4,0,0
2019-04-08,10,19,4,0,0
2019-04-09,10,19,4,0,0
2019-04-10,10,19,4,0,0
2019-04-11,11,21,4,0,0
2019-04-12,11,21,4,0,0
2019-04-13,11,21,4,0,0
2019-04-14,11,21,4,0,0
2019-04-15,10,21,3,0,0
2019-04-16,9,21,4,0,0
2019-04-17,9,21,4,0,0
2019-04-18,9,21,4,0,0
2019-04-19,8,12,4,0,0
2019-04-20,8,12,4,0,0
2019-04-21,8,12,4,0,0
2019-04-22,11,12,4,0,0
2019-04-23,7,12,4,0,0
2019-04-24,7,17,4,0,0
2019-04-25,8,17,4,0,0
2019-04-26,4,17,4,0,0
2019-04-27,4,17,4,0,0
2019-04-28,4,14,4,0,0
2019-04-29,4,17,4,0,0
2019-04-30,5,17,4,0,0
2019-05-02,6,17,4,0,0
2019-05-03,6,17,4,0,0
2019-05-04,6,17,4,0,0
2019-05-05,6,17,4,0,0
2019-05-06,6,17,4,0,0
2019-05-07,5,18,3,0,0
2019-05-08,5,18,3,0,0
2019-05-09,5,17,3,0,0
2019-05-10,5,17,3,0,0
2019-05-11,5,17,3,0,0
2019-05-12,5,17,3,0,0
2019-05-13,5,17,3,0,0
2019-05-14,5,17,3,0,0
2019-05-15,5,17,3,0,0
2019-05-16,5,17,3,0,0
2019-05-17,5,17,3,0,0
2019-06-02,5,17,1,0,2
2019-06-03,5,17,1,0,2
2019-06-04,5,17,1,0,2
2019-06-05,4,17,1,0,2
2019-06-06,5,17,1,0,2
2019-06-07,4,17,1,0,2
2019-06-08,4,17,1,0,2
2019-06-09,4,17,1,0,2
2019-06-10,5,17,1,0,2
2019-06-11,5,17,1,0,2
2019-06-12,5,17,1,0,1
2019-06-13,5,16,2,0,2
2019-06-14,4,16,2,0,2
2019-06-15,4,16,2,0,1
2019-06-16,4,16,2,0,1
2019-06-17,4,16,2,0,1
2019-06-18,4,16,2,0,1
2019-06-19,4,16,2,0,1
2019-06-20,4,16,2,0,1
2019-06-21,3,16,2,0,1
2019-06-22,3,16,2,0,0
2019-06-23,3,16,2,0,0
2019-06-24,3,25,2,0,0
2019-06-25,3,25,2,0,0
2019-06-26,3,25,2,0,1
2019-06-27,3,25,2,0,0
2019-06-28,1,25,2,0,1
2019-06-29,1,25,2,0,1
2019-06-30,1,25,2,0,1
2019-07-02,1,25,2,0,1
2019-07-03,0,24,2,0,1
2019-07-04,0,24,2,0,1
2019-07-05,0,24,2,0,1
2019-07-06,0,24,2,0,1
2019-07-07,0,24,2,0,1
2019-07-08,1,24,2,0,1
2019-07-09,1,24,2,0,1
2019-07-10,1,24,2,0,1
2019-07-11,1,28,2,0,1
2019-07-12,1,28,3,0,1
2019-07-13,1,28,3,0,1
2019-07-14,1,28,3,0,1
2019-07-15,1,28,2,0,1
2019-07-16,1,28,2,0,2
2019-07-17,1,28,2,0,1
2019-07-18,1,28,2,0,1
2019-07-19,1,28,2,0,1
2019-07-20,1,28,2,0,1
2019-07-21,1,28,2,0,1
2019-07-22,1,28,2,0,1
2019-07-23,1,28,2,0,1
2019-07-24,1,28,2,0,1
2019-07-25,2,28,2,0,1
2019-07-26,2,28,2,0,1
2019-07-27,2,28,2,0,1
2019-07-28,2,28,2,0,1
2019-07-29,3,28,2,0,1
2019-07-30,4,28,2,0,3
2019-07-31,4,28,2,0,3
2019-08-02,3,14,2,0,3
2019-08-03,3,14,2,0,3
2019-08-04,3,14,2,0,2
2019-08-05,4,20,2,0,2
2019-08-06,4,26,1,0,2
2019-08-07,4,26,1,0,2
2019-08-08,4,23,1,0,2
2019-08-09,4,23,1,0,2
2019-08-10,4,23,1,0,2
2019-08-11,4,23,1,0,2
2019-08-12,4,23,1,0,2
2019-08-13,4,29,1,0,2
2019-08-14,5,29,1,0,2
2019-08-15,4,32,1,0,4
2019-08-16,6,32,1,0,4
2019-08-17,1,28,2,0,1
2019-08-18,6,32,1,0,4
2019-08-19,8,31,1,0,4
2019-08-20,9,31,3,0,2
2019-08-21,9,32,3,0,2
2019-08-22,0,32,3,0,10
2019-08-23,0,32,3,0,10
2019-08-24,0,32,3,0,10
2019-08-25,0,32,3,0,10
2019-08-26,0,32,3,0,10
2019-08-27,0,32,3,0,10
2019-08-28,0,28,3,0,10
2019-08-29,0,28,3,0,10
2019-08-30,0,28,3,0,10
2019-08-31,0,28,3,0,10
2019-09-02,0,28,3,0,10
2019-09-03,9,28,2,0,3
2019-09-04,8,28,2,0,3
2019-09-05,7,28,2,0,2
2019-09-06,7,28,2,0,0
2019-09-07,7,28,2,0,0
2019-09-08,7,28,2,0,0
2019-09-09,8,34,2,0,0
2019-09-10,9,34,2,0,1
2019-09-11,10,34,2,0,1
2019-09-12,10,34,1,0,1
2019-09-13,10,34,1,0,1
2019-09-14,10,34,1,0,1
2019-09-15,9,34,1,0,1
2019-09-16,10,34,1,0,1
2019-09-17,10,33,1,0,1
2019-09-18,9,32,1,0,0
2019-09-19,8,32,1,0,0
2019-09-20,8,32,1,0,0
2019-09-21,8,32,1,0,0
2019-09-22,8,32,1,0,0
2019-09-23,8,32,1,0,0
2019-09-24,8,32,1,0,0
2019-09-25,9,32,1,0,1
2019-09-26,8,29,1,0,1
2019-09-27,6,29,1,0,1
2019-09-28,6,29,1,1,1
2019-09-29,6,29,1,0,1
2019-09-30,5,28,1,0,1
2019-10-02,6,24,1,0,0
2019-10-03,3,24,1,0,0
2019-10-04,3,24,1,0,0
